n,micros,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_ut,my_ut,mz_ut
140.0,3253822969.0,-0.02869,-0.45374,-0.88477,-0.1831,-0.061,-0.2441,33.0,11.0,-13.0
141.0,3253835919.0,-0.0282,-0.45349,-0.88428,-0.061,-0.061,-0.3052,33.0,11.0,-13.0
142.0,3253852040.0,-0.02795,-0.45312,-0.88379,0.0,-0.1221,-0.3052,33.0,11.0,-13.0
143.0,3253865948.0,-0.0282,-0.45288,-0.88379,0.0,-0.1221,-0.2441,33.0,11.0,-13.0
144.0,3253882038.0,-0.02759,-0.45264,-0.8844,-0.061,-0.061,-0.1831,33.0,11.0,-13.0
145.0,3253896642.0,-0.02917,-0.45227,-0.8844,-0.061,-0.1221,-0.2441,33.0,9.0,-6.0
146.0,3253912322.0,-0.02917,-0.45203,-0.88452,-0.1221,-0.061,-0.2441,33.0,9.0,-6.0
147.0,3253924857.0,-0.02881,-0.45288,-0.88367,-0.061,0.0,-0.2441,33.0,9.0,-6.0
148.0,3253937836.0,-0.02893,-0.45312,-0.88416,0.0,-0.061,-0.1831,33.0,9.0,-6.0
149.0,3253952813.0,-0.02844,-0.45276,-0.88464,-0.061,-0.061,-0.2441,33.0,9.0,-6.0
150.0,3253969045.0,-0.02747,-0.45166,-0.88281,-0.1221,0.0,-0.3052,33.0,9.0,-6.0
151.0,3253982921.0,-0.02844,-0.45276,-0.88367,-0.1221,0.061,-0.3052,33.0,9.0,-6.0
152.0,3253994949.0,-0.02795,-0.45276,-0.88342,-0.061,0.0,-0.3052,33.0,9.0,-6.0
153.0,3254008644.0,-0.02747,-0.45276,-0.88318,-0.061,0.061,-0.3052,32.0,9.0,-12.0
154.0,3254020846.0,-0.02832,-0.45251,-0.8833,-0.061,0.061,-0.3052,32.0,9.0,-12.0
155.0,3254034940.0,-0.0293,-0.45239,-0.88599,-0.1221,-0.061,-0.2441,32.0,9.0,-12.0
156.0,3254050037.0,-0.02942,-0.45325,-0.88635,-0.1221,-0.061,-0.2441,32.0,9.0,-12.0
157.0,3254063951.0,-0.02905,-0.45349,-0.88562,-0.1221,-0.061,-0.2441,32.0,9.0,-12.0
158.0,3254079027.0,-0.02942,-0.45215,-0.88354,-0.1221,-0.061,-0.3052,32.0,9.0,-12.0
159.0,3254091840.0,-0.02893,-0.45203,-0.88391,-0.061,-0.061,-0.3052,32.0,9.0,-12.0
160.0,3254108305.0,-0.02771,-0.45239,-0.88403,-0.061,-0.1221,-0.2441,32.0,9.0,-12.0
161.0,3254121600.0,-0.0282,-0.45264,-0.88379,-0.1221,-0.061,-0.2441,31.0,9.0,-9.0
162.0,3254136565.0,-0.02869,-0.45264,-0.88379,-0.1221,0.0,-0.2441,31.0,9.0,-9.0
163.0,3254146615.0,-0.02869,-0.45251,-0.88379,-0.1221,0.0,-0.2441,31.0,9.0,-9.0
164.0,3254159529.0,-0.0293,-0.45239,-0.88354,-0.1221,0.0,-0.2441,31.0,9.0,-9.0
165.0,3254175035.0,-0.02759,-0.45276,-0.88428,-0.061,0.0,-0.2441,31.0,9.0,-9.0
166.0,3254187904.0,-0.02783,-0.45312,-0.88489,-0.1221,0.0,-0.1831,31.0,9.0,-9.0
167.0,3254201859.0,-0.0282,-0.453,-0.88477,-0.061,0.0,-0.2441,31.0,9.0,-9.0
168.0,3254214951.0,-0.0282,-0.45312,-0.8833,-0.061,0.0,-0.2441,31.0,9.0,-9.0
169.0,3254228738.0,-0.02783,-0.45349,-0.88416,-0.061,0.0,-0.2441,34.0,11.0,-9.0
170.0,3254243694.0,-0.02808,-0.45337,-0.8855,-0.061,0.0,-0.3052,34.0,11.0,-9.0
171.0,3254259004.0,-0.02808,-0.45264,-0.88416,-0.061,-0.061,-0.3052,34.0,11.0,-9.0
172.0,3254274862.0,-0.0282,-0.45178,-0.88293,-0.061,-0.061,-0.2441,34.0,11.0,-9.0
173.0,3254288839.0,-0.02905,-0.45166,-0.88379,-0.1221,0.061,-0.2441,34.0,11.0,-9.0
174.0,3254303839.0,-0.02881,-0.4519,-0.88477,-0.1831,0.061,-0.2441,34.0,11.0,-9.0
175.0,3254319000.0,-0.02844,-0.45227,-0.8833,-0.1221,0.0,-0.2441,34.0,11.0,-9.0
176.0,3254331926.0,-0.02881,-0.45239,-0.88293,-0.1221,0.0,-0.2441,34.0,11.0,-9.0
177.0,3254346602.0,-0.0293,-0.45325,-0.8844,-0.1221,0.0,-0.3052,32.0,7.0,-12.0
178.0,3254362930.0,-0.02893,-0.45312,-0.88367,-0.061,0.0,-0.2441,32.0,7.0,-12.0
179.0,3254377906.0,-0.02893,-0.45374,-0.88403,-0.061,0.061,-0.2441,32.0,7.0,-12.0
180.0,3254389929.0,-0.0282,-0.45349,-0.88354,-0.061,0.061,-0.2441,32.0,7.0,-12.0
181.0,3254403932.0,-0.02747,-0.45239,-0.88367,-0.1221,0.0,-0.3052,32.0,7.0,-12.0
182.0,3254416840.0,-0.0282,-0.45129,-0.88403,-0.1221,0.0,-0.2441,32.0,7.0,-12.0
183.0,3254428930.0,-0.02808,-0.45227,-0.88477,-0.1221,0.0,-0.2441,32.0,7.0,-12.0
184.0,3254440000.0,-0.02771,-0.45374,-0.88525,-0.1221,0.0,-0.3052,32.0,7.0,-12.0
185.0,3254455756.0,-0.02771,-0.45386,-0.88513,-0.061,-0.061,-0.2441,32.0,8.0,-13.0
186.0,3254471008.0,-0.02881,-0.45203,-0.88391,-0.1221,-0.061,-0.1831,32.0,8.0,-13.0
187.0,3254486037.0,-0.02881,-0.45251,-0.88428,-0.061,-0.061,-0.2441,32.0,8.0,-13.0
188.0,3254497931.0,-0.02905,-0.45215,-0.88367,-0.061,-0.061,-0.2441,32.0,8.0,-13.0
189.0,3254511930.0,-0.0293,-0.45178,-0.88293,-0.061,-0.061,-0.2441,32.0,8.0,-13.0
190.0,3254524907.0,-0.02881,-0.45203,-0.88269,0.0,-0.061,-0.2441,32.0,8.0,-13.0
191.0,3254536931.0,-0.0282,-0.45276,-0.88391,-0.061,-0.061,-0.2441,32.0,8.0,-13.0
192.0,3254549932.0,-0.02795,-0.45227,-0.88477,-0.061,-0.061,-0.2441,32.0,8.0,-13.0
193.0,3254563260.0,-0.02783,-0.45142,-0.8844,-0.061,0.0,-0.2441,31.0,10.0,-15.0
194.0,3254575845.0,-0.0282,-0.45129,-0.88428,-0.1221,0.0,-0.2441,31.0,10.0,-15.0
195.0,3254591002.0,-0.02905,-0.45166,-0.88367,-0.1831,0.0,-0.2441,31.0,10.0,-15.0
196.0,3254603929.0,-0.02893,-0.45117,-0.88269,-0.1221,0.061,-0.2441,31.0,10.0,-15.0
197.0,3254620868.0,-0.02893,-0.45142,-0.88354,-0.061,0.0,-0.2441,31.0,10.0,-15.0
198.0,3254636891.0,-0.02808,-0.45276,-0.88501,-0.061,-0.061,-0.2441,31.0,10.0,-15.0
199.0,3254653029.0,-0.02856,-0.453,-0.88477,-0.1221,0.0,-0.2441,31.0,10.0,-15.0
200.0,3254668930.0,-0.02881,-0.45264,-0.88403,-0.061,0.0,-0.2441,31.0,10.0,-15.0
201.0,3254685678.0,-0.02844,-0.45227,-0.88428,-0.061,-0.061,-0.2441,32.0,10.0,-11.0
202.0,3254701033.0,-0.02893,-0.45166,-0.8844,-0.061,-0.061,-0.2441,32.0,10.0,-11.0
203.0,3254715910.0,-0.02869,-0.45239,-0.88367,-0.1221,-0.061,-0.2441,32.0,10.0,-11.0
204.0,3254727934.0,-0.02734,-0.45288,-0.88269,-0.1221,-0.061,-0.2441,32.0,10.0,-11.0
205.0,3254739934.0,-0.02747,-0.45227,-0.88318,-0.1221,-0.061,-0.2441,32.0,10.0,-11.0
206.0,3254753922.0,-0.02747,-0.45178,-0.88306,-0.1221,0.0,-0.1831,32.0,10.0,-11.0
207.0,3254766935.0,-0.02808,-0.45178,-0.88318,-0.061,0.0,-0.2441,32.0,10.0,-11.0
208.0,3254783032.0,-0.02783,-0.45288,-0.8855,-0.061,0.0,-0.3052,32.0,10.0,-11.0
209.0,3254797681.0,-0.02832,-0.45251,-0.88464,-0.1221,-0.061,-0.2441,34.0,8.0,-10.0
210.0,3254809782.0,-0.02905,-0.4519,-0.88477,-0.1221,-0.061,-0.2441,34.0,8.0,-10.0
211.0,3254825754.0,-0.02869,-0.45288,-0.8844,-0.1221,-0.061,-0.2441,34.0,8.0,-10.0
212.0,3254840996.0,-0.02795,-0.45312,-0.88489,-0.1831,-0.061,-0.2441,34.0,8.0,-10.0
213.0,3254856846.0,-0.02783,-0.45203,-0.88452,-0.1221,-0.061,-0.2441,34.0,8.0,-10.0
214.0,3254871003.0,-0.02844,-0.45251,-0.88354,-0.061,-0.061,-0.2441,34.0,8.0,-10.0
215.0,3254886011.0,-0.0282,-0.45288,-0.88416,-0.061,0.0,-0.2441,34.0,8.0,-10.0
216.0,3254899847.0,-0.02856,-0.45215,-0.88403,-0.1221,0.0,-0.1831,34.0,8.0,-10.0
217.0,3254914683.0,-0.02783,-0.45264,-0.88354,-0.1221,-0.061,-0.2441,33.0,9.0,-9.0
218.0,3254930036.0,-0.02917,-0.45215,-0.88293,-0.061,-0.061,-0.2441,33.0,9.0,-9.0
219.0,3254942845.0,-0.02917,-0.4519,-0.88318,-0.1831,0.0,-0.2441,33.0,9.0,-9.0
220.0,3254955935.0,-0.02869,-0.45178,-0.88342,-0.1831,0.0,-0.2441,33.0,9.0,-9.0
221.0,3254968938.0,-0.02771,-0.45215,-0.88452,-0.1221,-0.061,-0.2441,33.0,9.0,-9.0
222.0,3254985010.0,-0.02795,-0.45312,-0.88501,-0.1221,-0.1221,-0.1831,33.0,9.0,-9.0
223.0,3254997847.0,-0.02759,-0.45374,-0.8844,-0.1831,-0.1221,-0.1831,33.0,9.0,-9.0
224.0,3255010825.0,-0.02771,-0.45276,-0.88318,-0.061,0.0,-0.2441,33.0,9.0,-9.0
225.0,3255026967.0,-0.02808,-0.45239,-0.88367,-0.061,0.0,-0.3052,31.0,11.0,-6.0
226.0,3255041848.0,-0.02856,-0.45251,-0.8844,-0.1221,0.0,-0.2441,31.0,11.0,-6.0
227.0,3255055800.0,-0.02832,-0.453,-0.88391,-0.061,0.0,-0.1831,31.0,11.0,-6.0
228.0,3255070848.0,-0.02698,-0.45215,-0.88489,-0.061,-0.061,-0.2441,31.0,11.0,-6.0
229.0,3255086204.0,-0.02747,-0.4519,-0.88501,-0.061,-0.061,-0.3052,31.0,11.0,-6.0
230.0,3255098877.0,-0.02844,-0.45264,-0.88428,-0.061,-0.061,-0.3052,31.0,11.0,-6.0
